Chord; Position; Fingering; Max Fingers Required; Number of Barres; Fret Range; Highest Ring Finger; Highest Pinky Finger
A+; ['x', 'x', '7', '6', '6', '5']; ['0', '0', '4', '2', '3', '1']; 2; 0; 2; 2; 4
A+; ['5', '4', '3', '2', 'x', 'x']; ['4', '3', '2', '1', '0', '0']; 1; 0; 3; 5; 6
A+; ['5', '8', '7', '6', 'x', 'x']; ['1', '4', '3', '2', '0', '0']; 1; 0; 3; 4; 5
A+; ['x', '12', 'x', '14', '14', '13']; ['0', '1', '0', '3', '4', '2']; 2; 0; 2; 3; 2
A°; ['x', '12', '13', '14', '13', 'x']; ['0', '1', '2', '4', '3', '0']; 2; 0; 2; 2; 3
A°; ['5', 'x', '7', '5', '4', 'x']; ['2', '0', '4', '3', '1', '0']; 2; 0; 3; 3; 4
A°; ['5', '6', '7', '5', 'x', 'x']; ['1', '3', '4', '2', '0', '0']; 2; 0; 2; 5; 4
A7; ['x', '0', '2', '0', '2', '0']; ['0', '0', '2', '0', '3', '0']; 2; 0; 0; 2; 0
A7; ['x', '0', '2', '2', '2', '3']; ['0', '0', '1', '1', '1', '2']; 1; 1; 1; 0; 0
A7; ['x', '0', '2', '2', '2', '3']; ['0', '0', '1', '1', '1', '3']; 1; 1; 1; 1; 0
A7; ['x', '0', '2', '2', '2', '3']; ['0', '0', '1', '2', '3', '4']; 3; 0; 1; 2; 1
A7; ['5', '7', '5', '6', '5', '5']; ['1', '3', '1', '2', '1', '1']; 1; 1; 2; 5; 0
A7; ['5', 'x', '5', '6', '5', 'x']; ['1', '0', '2', '4', '3', '0']; 3; 0; 1; 2; 3
A7; ['x', '0', '7', '9', '8', '9']; ['0', '0', '1', '3', '2', '4']; 2; 0; 2; 3; 1
A7; ['x', '12', '14', '12', '14', '12']; ['0', '1', '3', '1', '4', '1']; 2; 1; 2; 4; 2
A7; ['x', 'x', '7', '9', '8', '9']; ['0', '0', '1', '3', '2', '4']; 2; 0; 2; 3; 1
A7; ['x', '12', '11', '12', '10', 'x']; ['0', '3', '2', '4', '1', '0']; 2; 0; 2; 5; 3
A7sus4; ['x', '0', '2', '0', '3', '0']; ['0', '0', '1', '0', '3', '0']; 1; 0; 1; 2; 0
A7sus4; ['x', '0', '2', '0', '3', '3']; ['0', '0', '1', '0', '3', '4']; 2; 0; 1; 2; 1
A7sus4; ['5', '7', '5', '7', '5', '5']; ['1', '3', '1', '4', '1', '1']; 2; 1; 2; 5; 3
A7sus4; ['x', '12', '12', '12', '10', '10']; ['0', '2', '3', '4', '1', '1']; 3; 1; 2; 4; 3
A7sus4; ['x', '12', '14', '12', '15', '12']; ['0', '1', '3', '1', '4', '1']; 1; 1; 3; 4; 2
A7sus4; ['x', 'x', '7', '9', '8', '10']; ['0', '0', '1', '3', '2', '4']; 1; 0; 3; 3; 1
Am7; ['x', '0', '2', '0', '1', '0']; ['0', '0', '2', '0', '1', '0']; 1; 0; 1; 0; 0
Am7; ['x', '0', '2', '2', '1', '3']; ['0', '0', '2', '3', '1', '4']; 2; 0; 2; 3; 1
Am7; ['5', '7', '5', '5', '5', '5']; ['1', '3', '1', '1', '1', '1']; 1; 1; 2; 5; 0
Am7; ['5', '0', '5', '5', '5', '0']; ['1', '0', '2', '3', '4', '0']; 4; 0; 0; 3; 2
Am7; ['5', '0', '5', '5', '5', '0']; ['1', '0', '3', '3', '3', '0']; 2; 1; 0; 4; 0
Am7; ['5', '0', '5', '5', '5', '0']; ['2', '0', '3', '3', '3', '0']; 2; 1; 0; 4; 0
Am7; ['x', '12', '14', '12', 'x', '12']; ['0', '1', '3', '1', '0', '1']; 1; 1; 2; 4; 0
Am7; ['x', '12', '14', '12', 'x', '12']; ['0', '1', '4', '1', '0', '1']; 1; 1; 2; 0; 4
Am7; ['x', '12', '14', '12', '13', '12']; ['0', '1', '3', '1', '2', '1']; 1; 1; 2; 4; 0
Am7; ['x', '12', '14', '12', '13', '12']; ['0', '1', '4', '1', '2', '1']; 1; 1; 2; 0; 4
Am7; ['5', '7', '7', '5', '8', '5']; ['1', '2', '3', '1', '4', '1']; 2; 1; 3; 4; 2
Am7; ['5', 'x', '5', '5', '5', 'x']; ['1', '0', '2', '3', '4', '0']; 4; 0; 0; 3; 2
Am7; ['5', 'x', '5', '5', '5', 'x']; ['1', '0', '3', '3', '3', '0']; 2; 1; 0; 4; 0
Am7; ['5', 'x', '5', '5', '5', 'x']; ['2', '0', '3', '3', '3', '0']; 2; 1; 0; 4; 0
Am7; ['x', '12', '10', '12', '13', 'x']; ['0', '2', '1', '3', '4', '0']; 2; 0; 3; 3; 2
Am7; ['x', '12', '10', '12', '10', 'x']; ['0', '3', '1', '4', '1', '0']; 2; 1; 2; 5; 3
Am7; ['x', 'x', '7', '9', '8', '8']; ['0', '0', '1', '4', '2', '3']; 2; 0; 2; 1; 3
AMaj7; ['x', '0', '2', '1', '2', '0']; ['0', '0', '2', '1', '3', '0']; 2; 0; 1; 2; 0
AMaj7; ['x', 'x', '7', '6', '5', '4']; ['0', '0', '4', '3', '2', '1']; 1; 0; 3; 3; 4
AMaj7; ['x', 'x', '7', '9', '9', '9']; ['0', '0', '1', '2', '3', '4']; 3; 0; 2; 2; 1
AMaj7; ['x', 'x', '7', '9', '9', '9']; ['0', '0', '1', '3', '3', '3']; 1; 1; 2; 3; 0
AMaj7; ['x', 'x', '7', '9', '9', '9']; ['0', '0', '1', '4', '4', '4']; 1; 1; 2; 0; 3
AMaj7; ['5', 'x', '6', '6', '5', 'x']; ['1', '0', '3', '4', '2', '0']; 2; 0; 1; 4; 3
AMaj7; ['x', '12', '14', '13', '14', '12']; ['0', '1', '3', '2', '4', '1']; 2; 1; 2; 4; 2
AMaj7; ['5', '7', '6', '6', '5', '5']; ['1', '4', '2', '3', '1', '1']; 2; 1; 2; 3; 5
Am7b5; ['5', 'x', '5', '5', '4', 'x']; ['2', '0', '3', '4', '1', '0']; 3; 0; 1; 4; 3
Am7b5; ['x', '0', '1', '0', '1', 'x']; ['0', '0', '1', '0', '2', '0']; 2; 0; 0; 0; 0
Am7b5; ['x', '0', '1', '0', '1', 'x']; ['0', '0', '1', '0', '3', '0']; 2; 0; 0; 2; 0
Am7b5; ['x', '0', '1', '0', '1', 'x']; ['0', '0', '2', '0', '4', '0']; 2; 0; 0; 0; 2
Am7b5; ['5', '6', '7', '8', '8', '8']; ['1', '2', '3', '4', '4', '4']; 1; 1; 3; 4; 3
Am7b5; ['x', 'x', '7', '8', '8', '8']; ['0', '0', '1', '3', '3', '3']; 1; 1; 1; 3; 0
Am7b5; ['x', 'x', '7', '8', '8', '8']; ['0', '0', '1', '2', '3', '4']; 3; 0; 1; 2; 1
Am7b5; ['x', '12', '13', '12', '13', 'x']; ['0', '1', '3', '2', '4', '0']; 2; 0; 1; 4; 2
Am7b5; ['x', '12', 'x', '12', '13', '11']; ['0', '2', '0', '3', '4', '1']; 2; 0; 2; 3; 2
Am7b5; ['5', '6', '5', '5', '8', '5']; ['1', '2', '1', '1', '4', '1']; 1; 1; 3; 0; 2
A°7; ['x', 'x', '7', '8', '7', '8']; ['0', '0', '1', '3', '2', '4']; 2; 0; 1; 3; 1
A°7; ['5', 'x', '4', '5', '4', 'x']; ['3', '0', '1', '4', '2', '0']; 2; 0; 1; 6; 3
A°7; ['x', '12', '13', '11', '13', 'x']; ['0', '2', '3', '1', '4', '0']; 2; 0; 2; 4; 2
A°7; ['x', '0', '1', '2', '1', '2']; ['0', '0', '1', '3', '2', '4']; 2; 0; 1; 3; 1
A+7; ['x', '12', '15', '12', '14', '13']; ['0', '1', '4', '1', '3', '2']; 1; 1; 3; 2; 4
A+7; ['5', 'x', '5', '6', '6', 'x']; ['1', '0', '2', '3', '4', '0']; 2; 0; 1; 3; 2
A+7; ['x', 'x', '7', '10', '8', '9']; ['0', '0', '1', '4', '2', '3']; 1; 0; 3; 1; 3
A+7; ['x', '12', 'x', '12', '14', '13']; ['0', '1', '0', '2', '4', '3']; 2; 0; 2; 1; 2
AmMaj7; ['x', '12', '14', '13', '13', '12']; ['0', '1', '4', '2', '3', '1']; 2; 1; 2; 2; 4
AmMaj7; ['5', 'x', '6', '5', '5', 'x']; ['1', '0', '4', '2', '3', '0']; 3; 0; 1; 2; 4
AmMaj7; ['5', '7', '6', '5', '5', '5']; ['1', '3', '2', '1', '1', '1']; 1; 1; 2; 5; 0
AmMaj7; ['x', 'x', '7', '9', '9', '8']; ['0', '0', '1', '3', '4', '2']; 2; 0; 2; 3; 2
AmMaj7; ['x', 'x', '7', '5', '5', '4']; ['0', '0', '4', '2', '3', '1']; 2; 0; 3; 2; 4
Aadd9; ['x', '0', '2', '4', '2', '0']; ['0', '0', '1', '4', '2', '0']; 2; 0; 2; 0; 3
Aadd9; ['x', '0', '7', '6', '0', '0']; ['0', '0', '2', '1', '0', '0']; 1; 0; 1; 0; 0
Aadd9; ['x', '0', '7', '6', '0', '0']; ['0', '0', '3', '2', '0', '0']; 1; 0; 1; 4; 0
Aadd9; ['x', '0', '7', '6', '0', '0']; ['0', '0', '4', '3', '0', '0']; 1; 0; 1; 3; 4
Aadd9; ['x', 'x', '7', '6', '5', '7']; ['0', '0', '3', '2', '1', '4']; 2; 0; 2; 4; 1
Aadd9; ['x', '12', '14', '16', '14', '12']; ['0', '1', '2', '4', '3', '1']; 2; 1; 4; 2; 3
Aadd9; ['5', 'x', 'x', '6', '5', '7']; ['1', '0', '0', '3', '2', '4']; 2; 0; 2; 3; 1
Amadd9; ['x', 'x', '7', '5', '5', '7']; ['0', '0', '3', '1', '1', '4']; 2; 1; 2; 4; 1
A6; ['x', '0', '2', '2', '2', '2']; ['0', '0', '1', '1', '1', '1']; 1; 1; 0; 0; 0
A6; ['x', '0', '2', '2', '2', '2']; ['0', '0', '1', '2', '3', '4']; 4; 0; 0; 2; 1
A6; ['x', '0', '7', '9', '7', '9']; ['0', '0', '1', '3', '2', '4']; 2; 0; 2; 3; 1
A6; ['x', 'x', '7', '6', '7', '5']; ['0', '0', '3', '2', '4', '1']; 2; 0; 2; 4; 2
A6; ['x', '0', '4', '2', '2', '0']; ['0', '0', '4', '1', '2', '0']; 2; 0; 2; 0; 4
A6; ['x', '0', '4', '2', '2', '0']; ['0', '0', '3', '1', '2', '0']; 2; 0; 2; 4; 0
A6; ['x', '0', '11', '11', '10', '0']; ['0', '0', '2', '3', '1', '0']; 2; 0; 1; 3; 0
A6; ['x', '0', '11', '11', '10', '0']; ['0', '0', '3', '4', '2', '0']; 2; 0; 1; 4; 3
A6; ['x', '12', '14', '14', '14', '14']; ['0', '1', '2', '3', '4', '4']; 3; 1; 2; 3; 2
A6; ['x', 'x', '7', '9', '7', '9']; ['0', '0', '1', '3', '1', '4']; 2; 1; 2; 3; 1
A6; ['x', 'x', '7', '9', '7', '9']; ['0', '0', '1', '2', '1', '3']; 2; 1; 2; 1; 0
A6; ['5', 'x', '4', '6', '5', 'x']; ['2', '0', '1', '4', '3', '0']; 2; 0; 2; 2; 3
Am6; ['x', '0', '2', '2', '1', '2']; ['0', '0', '2', '3', '1', '4']; 3; 0; 1; 3; 1
Am6; ['5', '7', '7', '5', '7', '0']; ['1', '2', '3', '1', '4', '0']; 3; 1; 2; 4; 2
Am6; ['x', 'x', '7', '9', '7', '8']; ['0', '0', '1', '3', '1', '2']; 1; 1; 2; 3; 0
Am6; ['x', '12', '10', '11', '10', 'x']; ['0', '4', '1', '3', '2', '0']; 2; 0; 2; 3; 5
Am6; ['5', 'x', '4', '5', '5', 'x']; ['2', '0', '1', '3', '4', '0']; 3; 0; 1; 3; 2
Am6; ['5', '7', '7', '5', '7', '5']; ['1', '2', '3', '1', '4', '1']; 3; 1; 2; 4; 2
Am6; ['x', '12', '14', '11', '13', 'x']; ['0', '2', '4', '1', '3', '0']; 1; 0; 3; 2; 4
Am6; ['x', '12', '10', '11', '10', '12']; ['0', '3', '1', '2', '1', '4']; 2; 1; 2; 5; 1
Am6; ['x', '12', 'x', '11', '13', '12']; ['0', '2', '0', '1', '4', '3']; 2; 0; 2; 1; 2
Amb6; ['x', '12', '10', '10', '10', '12']; ['0', '3', '1', '1', '1', '4']; 2; 1; 2; 5; 1
Amb6; ['5', 'x', '3', '5', '5', 'x']; ['2', '0', '1', '3', '4', '0']; 3; 0; 2; 3; 2
A9; ['x', '0', '2', '4', '2', '3']; ['0', '0', '1', '4', '2', '3']; 2; 0; 2; 1; 3
A9; ['x', '0', '5', '4', '5', '5']; ['0', '0', '2', '1', '3', '4']; 3; 0; 1; 2; 1
A9; ['x', '0', '5', '4', '5', '5']; ['0', '0', '2', '1', '3', '3']; 2; 1; 1; 2; 0
A9; ['x', '0', '5', '6', '5', '7']; ['0', '0', '1', '3', '2', '4']; 2; 0; 2; 3; 1
A9; ['x', '0', '5', '6', '5', '7']; ['0', '0', '1', '2', '1', '3']; 1; 1; 2; 1; 0
A9; ['x', '0', '5', '6', '5', '7']; ['0', '0', '1', '2', '1', '4']; 1; 1; 2; 0; 1
A9; ['5', '7', '5', '6', '5', '7']; ['1', '3', '1', '2', '1', '4']; 2; 1; 2; 5; 1
A9; ['x', '12', '11', '12', '12', 'x']; ['0', '2', '1', '3', '4', '0']; 3; 0; 1; 3; 2
A9; ['x', '12', '11', '12', '12', 'x']; ['0', '2', '1', '3', '3', '0']; 2; 1; 1; 3; 0
A9; ['x', '12', '11', '12', '12', '12']; ['0', '2', '1', '3', '3', '3']; 2; 1; 1; 3; 0
A9; ['5', 'x', '5', '4', '2', 'x']; ['3', '0', '4', '2', '1', '0']; 2; 0; 3; 6; 4
A9; ['x', 'x', '7', '6', '8', '7']; ['0', '0', '2', '1', '4', '3']; 2; 0; 2; 1; 2
A9; ['5', '4', '5', '4', '5', 'x']; ['2', '1', '3', '1', '4', '0']; 3; 1; 1; 4; 2
A11; ['x', '0', '0', '0', '0', '0']; ['0', '0', '0', '0', '0', '0']; 1; 0; 0; 0; 0
A11; ['5', '7', '5', '7', '5', '7']; ['1', '2', '1', '3', '1', '4']; 3; 1; 2; 3; 1
A11; ['x', '0', '5', '4', '3', '3']; ['0', '0', '3', '2', '1', '1']; 1; 1; 2; 4; 0
A11; ['x', '0', '5', '4', '3', '3']; ['0', '0', '4', '3', '1', '2']; 2; 0; 2; 3; 4
A11; ['x', '12', '12', '12', '12', '12']; ['0', '1', '1', '1', '1', '1']; 1; 1; 0; 0; 0
A11; ['x', '12', '11', '12', '10', '10']; ['0', '3', '2', '4', '1', '1']; 2; 1; 2; 5; 3
A11; ['x', '12', '12', '12', '14', '12']; ['0', '1', '1', '1', '3', '1']; 1; 1; 2; 2; 0
A11; ['x', 'x', '7', '7', '8', '9']; ['0', '0', '1', '1', '2', '3']; 1; 1; 2; 1; 0
A13; ['x', '0', '5', '4', '2', '2']; ['0', '0', '4', '3', '1', '1']; 1; 1; 3; 3; 4
A13; ['5', 'x', '5', '6', '7', '7']; ['1', '0', '2', '3', '4', '4']; 2; 1; 2; 3; 2
A13; ['x', '12', '11', '12', '12', '14']; ['0', '2', '1', '3', '3', '4']; 2; 1; 3; 3; 1
A13; ['5', 'x', '5', '4', '2', '2']; ['3', '0', '4', '2', '1', '1']; 2; 1; 3; 6; 4
A13; ['5', '7', '5', '6', '7', '5']; ['1', '3', '1', '2', '4', '1']; 2; 1; 2; 5; 2
A9sus4; ['x', '12', '12', '12', '12', '12']; ['0', '1', '1', '1', '1', '1']; 1; 1; 0; 0; 0
A9sus4; ['5', 'x', '5', '4', '3', 'x']; ['3', '0', '4', '2', '1', '0']; 2; 0; 2; 6; 4
A9sus4; ['5', 'x', '5', '4', '3', '3']; ['3', '0', '4', '2', '1', '1']; 2; 1; 2; 6; 4
A13sus4; ['x', '12', '12', '12', '12', '14']; ['0', '1', '1', '1', '1', '3']; 1; 1; 2; 1; 0
A13sus4; ['5', 'x', '5', '7', '7', '7']; ['1', '0', '2', '4', '4', '4']; 2; 1; 2; 0; 3
Am9; ['5', '3', '5', '4', 'x', 'x']; ['3', '1', '4', '2', '0', '0']; 2; 0; 2; 6; 4
Am9; ['x', 'x', '7', '9', '8', '7']; ['0', '0', '1', '3', '2', '1']; 1; 1; 2; 3; 0
Am9; ['5', '7', '5', '5', '5', '7']; ['1', '3', '1', '1', '1', '4']; 2; 1; 2; 5; 1
Am9; ['x', '12', '10', '12', '12', 'x']; ['0', '2', '1', '3', '4', '0']; 3; 0; 2; 3; 2
Am9; ['x', '12', '10', '12', '12', 'x']; ['0', '2', '1', '3', '3', '0']; 2; 1; 2; 3; 0
Am9; ['x', '12', '10', '12', '12', '12']; ['0', '2', '1', '3', '3', '3']; 2; 1; 2; 3; 0
Am9; ['x', 'x', '7', '5', '8', '7']; ['0', '0', '2', '1', '4', '3']; 2; 0; 3; 1; 2
Am9; ['5', 'x', '5', '5', '5', '7']; ['2', '0', '3', '3', '3', '4']; 2; 1; 2; 4; 1
Am11; ['x', '12', '10', '12', '10', '10']; ['0', '3', '1', '4', '1', '1']; 2; 1; 2; 5; 3
Am11; ['x', '12', '12', '12', '13', '12']; ['0', '1', '1', '1', '2', '1']; 1; 1; 1; 0; 0
Am11; ['5', 'x', '5', '5', '3', 'x']; ['2', '0', '3', '4', '1', '0']; 3; 0; 2; 4; 3
Am11; ['x', 'x', '7', '7', '8', '8']; ['0', '0', '1', '1', '2', '2']; 1; 2; 1; 0; 0
Am11; ['x', '12', 'x', '12', '13', '10']; ['0', '2', '0', '3', '4', '1']; 2; 0; 3; 3; 2
Am13; ['x', '12', 'x', '12', '13', '14']; ['0', '1', '0', '2', '3', '4']; 2; 0; 2; 2; 1
Am13; ['5', '7', '5', '5', '7', '5']; ['1', '3', '1', '1', '4', '1']; 2; 1; 2; 5; 2
Am13; ['5', 'x', '5', '5', '7', '7']; ['2', '0', '3', '3', '4', '4']; 2; 2; 2; 4; 2
Am13; ['5', 'x', '5', '5', '7', '7']; ['1', '0', '2', '3', '4', '4']; 3; 1; 2; 3; 2
Am13; ['x', '12', '14', '12', '13', '14']; ['0', '1', '3', '1', '2', '4']; 2; 1; 2; 4; 1
Am13; ['x', '12', '10', '12', '12', '14']; ['0', '2', '1', '3', '3', '4']; 2; 1; 4; 3; 1
AmMaj9; ['x', '12', '10', '13', '12', 'x']; ['0', '2', '1', '4', '3', '0']; 2; 0; 3; 2; 3
AmMaj9; ['5', '7', '6', '5', '5', '7']; ['1', '3', '2', '1', '1', '4']; 2; 1; 2; 5; 1
AMaj9; ['x', '12', '11', '13', '12', 'x']; ['0', '2', '1', '4', '3', '0']; 2; 0; 2; 2; 3
AMaj9; ['x', 'x', '7', '6', '9', '7']; ['0', '0', '2', '1', '4', '3']; 2; 0; 3; 1; 2
AMaj9; ['x', '12', '9', '9', '9', '9']; ['0', '3', '1', '1', '1', '1']; 1; 1; 3; 5; 0
AMaj9; ['5', '4', '6', '4', '5', '4']; ['2', '1', '4', '1', '3', '1']; 2; 1; 2; 2; 4
AMaj9; ['5', 'x', '6', '4', '5', 'x']; ['2', '0', '4', '1', '3', '0']; 2; 0; 2; 2; 4
AMaj13; ['x', '12', 'x', '13', '14', '14']; ['0', '1', '0', '2', '4', '4']; 1; 1; 2; 0; 2
AMaj13; ['x', '12', 'x', '13', '14', '14']; ['0', '1', '0', '2', '3', '4']; 2; 0; 2; 2; 1
AMaj13; ['5', '4', '4', '4', '5', '4']; ['2', '1', '1', '1', '3', '1']; 2; 1; 1; 2; 0
AMaj13; ['5', 'x', '6', '6', '7', '7']; ['1', '0', '2', '3', '4', '4']; 2; 1; 2; 3; 2
A+9; ['x', '12', '11', '12', '12', '13']; ['0', '2', '1', '3', '3', '4']; 2; 1; 2; 3; 1
A+9; ['5', 'x', '5', '6', '6', '7']; ['1', '0', '2', '3', '3', '4']; 2; 1; 2; 3; 1
AMaj7#11; ['x', '12', '13', '13', '14', '12']; ['0', '1', '2', '3', '4', '1']; 2; 1; 2; 3; 2
AMaj7#11; ['5', 'x', '6', '6', '4', 'x']; ['2', '0', '3', '4', '1', '0']; 2; 0; 2; 4; 3
AMaj7#11; ['x', 'x', '7', '8', '9', '9']; ['0', '0', '1', '2', '3', '3']; 1; 1; 2; 2; 0
AMaj7#11; ['x', 'x', '7', '8', '9', '9']; ['0', '0', '1', '2', '3', '4']; 2; 0; 2; 2; 1
A9b5; ['x', '12', '11', '12', '12', '11']; ['0', '2', '1', '3', '4', '1']; 3; 1; 1; 3; 2
A9b5; ['5', '4', '5', '4', '4', 'x']; ['2', '1', '3', '1', '1', '0']; 2; 1; 1; 4; 0
A7b9; ['x', '12', '11', '12', '11', 'x']; ['0', '2', '1', '3', '1', '0']; 2; 1; 1; 3; 0
A7b9; ['x', '12', '11', '12', '11', 'x']; ['0', '3', '1', '4', '2', '0']; 2; 0; 1; 5; 3
A7b9; ['5', '7', '5', '6', '5', '6']; ['1', '4', '1', '2', '1', '3']; 2; 1; 2; 1; 5
A7b9; ['x', '12', '11', '12', '11', '12']; ['0', '2', '1', '3', '1', '4']; 3; 1; 1; 3; 1
A7b9; ['x', 'x', '7', '6', '8', '6']; ['0', '0', '2', '1', '3', '1']; 1; 1; 2; 2; 0
A7#9; ['x', '12', '11', '12', '13', 'x']; ['0', '2', '1', '3', '4', '0']; 2; 0; 2; 3; 2
A7#9; ['5', '7', '5', '6', '5', '8']; ['1', '3', '1', '2', '1', '4']; 1; 1; 3; 5; 1
A7#9; ['x', 'x', '7', '6', '8', '8']; ['0', '0', '2', '1', '3', '4']; 2; 0; 2; 2; 1
A7b5#9; ['x', '12', '11', '12', '13', '11']; ['0', '2', '1', '3', '4', '1']; 2; 1; 2; 3; 2
A7#11; ['5', '6', '5', '6', '5', '5']; ['1', '2', '1', '3', '1', '1']; 2; 1; 1; 3; 0
A7b5; ['x', '12', '13', '12', '14', 'x']; ['0', '1', '2', '1', '4', '0']; 1; 1; 2; 0; 2
A7b5; ['5', 'x', '5', '6', '4', 'x']; ['2', '0', '3', '4', '1', '0']; 2; 0; 2; 4; 3
A7b5; ['x', 'x', '7', '8', '8', '9']; ['0', '0', '1', '2', '2', '3']; 1; 1; 2; 1; 0
A7b5; ['x', 'x', '7', '8', '8', '9']; ['0', '0', '1', '2', '3', '4']; 2; 0; 2; 2; 1
A7b5; ['x', '12', '13', '12', '14', '15']; ['0', '1', '2', '1', '3', '4']; 1; 1; 3; 2; 1
